condition,symptoms,causes,warnings,recommendations
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Sinusitis,"Severe sinus pressure with headache, congestion, and reduced sense of smell., blurred vision",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., fatigue","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., nausea",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., mild headache","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Diabetes,"frequent urination, blurred vision, fatigue, increased thirst, slow healing wounds, loss of appetite","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., sweating",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., dry throat","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., runny nose","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Common Cold,"nasal congestion, runny nose, mild fatigue, mild cough, sore throat, muscle weakness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Chronic joint inflammation with pain, stiffness, and tenderness., mild headache",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Asthma,"wheezing, chest tightness, breathing difficulty, shortness of breath, coughing at night, loss of appetite","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"coughing at night, chest tightness, breathing difficulty, muscle weakness","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Common Cold,"mild cough, runny nose, mild fatigue, irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Asthma,"chest tightness, coughing at night, wheezing, breathing difficulty, shortness of breath, sweating",inflammation of airways,persistent high fever requires medical attention,monitor symptoms carefully
COVID-19,"fatigue, loss of taste, fever, loss of appetite",bacterial infection,persistent high fever requires medical attention,rest and stay hydrated
COVID-19,"fever, fatigue, loss of smell, body aches","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., nausea","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
